	CC/Note	Note	Index	Traditional Label
XY Pad				
CC X	CC		91	Effects 1 Depth
CC Y	CC		92	Effects 2 Depth
				
Left Encoders				
P1	CC		48	
P2	CC		49	
P3	CC		50	
P4	CC		51	
				
Left Sliders				
S1	CC		42	Pan Position
S2	CC		43	Expression
S3	CC		44	Effect Control 1
S4	CC		45	Effect Control 2
				
Encoders				
E1	CC		56	
E2	CC		57	
E3	CC		58	
E4	CC		59	
E5	CC		60	
E6	CC		61	
E7	CC		62	
E8	CC		63	
				
Buttons				
F1	Note	C#0	25	
F2	Note	D0	26	
F3	Note	D#0	27	
F4	Note	E0	28	
F5	Note	F0	29	
F6	Note	F#0	30	
F7	Note	G0	31	
F8	Note	G#0	32	Bank Select
				
"Pads (Col,Row)"				
"01 - 1,1"	Note	C -2	0	Bank Select
"02 - 2,1"	Note	C# -2	1	Modulation Wheel
"03 - 3,1"	Note	D -2	2	Breath Controller
"04 - 4,1"	Note	D# -2	3	
"05 - 5,1"	Note	E -2	4	Foot Pedal
"06 - 1,2"	Note	F -2	5	Portamento Time
"07 - 2,2"	Note	F# -2	6	Data Entry
"08 - 3,2"	Note	G -2	7	Volume
"09 - 4,2"	Note	G# -2	8	Balance
"10 - 5,2"	Note	A -2	9	
"11 - 1,3"	Note	A# -2	10	Pan
"12 - 2,3"	Note	B -2	11	Expression
"13 - 3,3"	Note	C -1	12	Effect Control 1
"14 - 4,3"	Note	C# -1	13	Effect Control 2
"15 - 5,3"	Note	D -1	14	
"16 - 1,4"	Note	D# -1	15	
"17 - 2,4"	Note	E -1	16	General Purpose Controller 1
"18 - 3,4"	Note	F -1	17	General Purpose Controller 2
"19 - 4,4"	Note	F# -1	18	General Purpose Controller 3
"20 - 5,4"	Note	G -1	19	General Purpose Controller 4
"21 - 1,5"	Note	G# -1	20	
"22 - 2,5"	Note	A -1	21	
"23 - 3,5"	Note	A# -1	22	
"24 - 4,5"	Note	B -1	23	
"25 - 5,5"	Note	C 0	24	
				
Transport				
Left	Note	A# 0	34	Breath Controller (LSB)
Right	Note	C1	36	Foot Pedal (LSB)
Up	Note	B 0	35	
Down	Note	C# 1	37	Portamento Time (LSB)
Play	Note	D 1	38	Data Entry (LSB)
Stop	Note	D# 1	39	Volume (LSB)
Record	Note	E 1	40	Balance (LSB)
				
DJ Section				
P5	CC		52	
P6	CC		53	
F9	Note	A 0	33	Modulation Wheel (LSB)
F10	Note	F 1	41	
S5	CC		46	
S6	CC		47	
Xfader	CC		75	Sound Control 6
